PolicyNumber,EffectiveDate,ExpirationDate,Term,InsuredCustomerNumber,InsuredCompanyName,WrittenPremiumAmount,LineOfBusiness,LineOfBusinessCode,NewOrRenewal,InsuredIndustry,InsuredSector,DistributionChannel,InsuredEIN,InsuredCity,InsuredStateCode,InsuredContactCellPhone,InsuredContactEmail,InsuredNumberOfEmployees,InsuredEmployeeTier,InsuredAnnualRevenue,ProducerProfitCenterID,Territory,ProducerCode,AgentName,GenerationDate
7425771,2022-01-08,2023-01-08,12,8200541,Mesh Interactive Relationships,103600.00,Worker's Comp,WC,New,Advertising,Services,Agent Email Not-ACORD,93-8305095,Mobile,AL,060-952-5660,ubaker@burke-christensen.net,148,2,46169044,25859,Central,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
6986511,2022-01-16,2023-01-16,12,9626427,Exploit 24/365 Models,1440.00,Worker's Comp,WC,New,Transport & Logistics,Transportation,Agent Email ACORD,91-3496048,Baltimore,MD,160-555-4631,jameslowe@fields.info,4,1,1164172,83896,Northeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
8410494,2022-01-12,2023-01-12,12,2108033,Utilize Efficient Eyeballs,34600.00,Commercial Auto,AUTO,Renewal,Insurance Brokerage,Financial,Agent Portal,99-3325721,Cheyenne,WY,555-615-4048,joshuahernandez@hotmail.com,346,2,140289506,27719,West,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
6399908,2022-01-25,2023-01-25,12,8752946,Cultivate Viral Models,92800.00,Worker's Comp,WC,Renewal,Specialty Retail,Retail,Agent Portal,94-1147901,Colorado Springs,CO,179-253-3232,robinsonangela@hotmail.com,320,2,184066560,34312,West,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
3749520,2022-01-05,2023-01-05,12,2329500,Brand Magnetic Interfaces,208500.00,Worker's Comp,WC,Renewal,Furniture & Fixtures,Retail,Agent Email Not-ACORD,99-3380626,Newark,NJ,186-545-5054,jessicakirby@yahoo.com,834,3,282022938,31793,Northeast,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
9124592,2022-01-12,2023-01-12,12,6988133,Envisioneer Virtual Interfaces,120900.00,Worker's Comp,WC,Renewal,Nonalcoholic Beverages,Consumer Non Cyclical,Agent Email ACORD,92-9840301,Springfield,MA,565-874-3183,johnsonjamie@anderson-davis.biz,310,2,162663200,65294,Northeast,98527,ALKEME,2023-06-01 19:49:38.000+0000
572958,2022-01-28,2023-01-28,12,8080981,Enable Best-Of-Breed Users,400.00,Worker's Comp,WC,Renewal,Personal Services,Services,Agent Email ACORD,94-4645344,New York,NY,144-395-1438,zevans@hotmail.com,1,1,1602147,49345,Northeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
5619167,2022-01-19,2023-01-19,12,7712195,Revolutionize Proactive Web Services,491200.00,Commercial Auto,AUTO,New,Professional Services,Services,Agent Email Not-ACORD,93-7193780,Wichita,KS,565-896-0480,james44@gmail.com,614,3,273257630,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
5312859,2022-01-13,2023-01-13,12,4188778,Visualize Magnetic Portals,70600.00,Commercial Auto,AUTO,New,Specialty Retail,Retail,Agent Email ACORD,90-5669542,Athens,GA,539-224-5304,wwatson@mendez.com,353,2,203048424,83896,Southeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
8436148,2022-01-21,2023-01-21,12,9626092,Redefine Revolutionary Relationships,23100.00,Worker's Comp,WC,Renewal,Technology Retail,Retail,Agent Email Not-ACORD,91-3976291,Shreveport,LA,687-721-4931,kristencollins@rice-hernandez.com,66,1,46649724,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
1327981,2022-01-03,2023-01-03,12,3198174,Synergize Rich Deliverables,360800.00,Commercial Auto,AUTO,Renewal,Real Estate Operations,Services,Agent Portal,92-9798675,Topeka,KS,613-205-0530,matthew02@conley-burton.com,451,2,651349534,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
2899109,2022-01-10,2023-01-10,12,5785233,Synthesize Global Markets,4800.00,Worker's Comp,WC,Renewal,Personal Services,Services,Agent Portal,98-9756670,Palm Bay,FL,508-121-4698,kristen59@yahoo.com,12,1,19225764,25859,Southeast,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
9431785,2022-01-10,2023-01-10,12,2392611,Optimize Bricks-And-Clicks Roi,80880.00,Commercial Auto,AUTO,New,Grocery Stores,Retail,Direct Voice,95-4956022,Tuscaloosa,AL,641-541-3930,ojenkins@george.com,337,2,240049144,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
6376392,2022-01-15,2023-01-15,12,8681853,Embrace B2C Supply-Chains,3780.00,Worker's Comp,WC,Renewal,Restaurants,Services,Agent Email Not-ACORD,99-7875858,Baltimore,MD,475-603-9569,vangtammy@gregory-ward.com,14,1,2511040,89148,Northeast,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
5855550,2022-01-23,2023-01-23,12,2085882,Seize Web-Enabled Relationships,454720.00,Commercial Auto,AUTO,New,Wholesale,Retail,Direct Voice,98-6730010,Grand Rapids,MI,115-086-1655,zhubbard@smith-taylor.com,464,2,440335072,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
5559864,2022-01-25,2023-01-25,12,4230499,Orchestrate Impactful Eyeballs,134560.00,Worker's Comp,WC,Renewal,Automotive Aftermarket,Retail,Agent Email Not-ACORD,92-7306230,Dover,DE,269-635-1101,dunnlauren@george-davenport.com,232,2,180601792,34312,Northeast,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
2959716,2022-01-06,2023-01-06,12,6472545,Optimize Enterprise Experiences,125600.00,Commercial Auto,AUTO,Renewal,Professional Services,Services,Agent Email Not-ACORD,94-0819527,Kansas City,MO,652-415-8366,xmoore@flores-santos.com,157,2,69872065,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
4344514,2022-01-28,2023-01-28,12,5248215,Expedite Transparent Infrastructures,15900.00,Commercial Auto,AUTO,Renewal,Software & Programming,Services,Agent Email Not-ACORD,92-9098005,Oceanside,CA,864-412-7325,kevinsmith@gmail.com,159,2,68448546,16296,West,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
5826471,2022-01-15,2023-01-15,12,1772655,Grow Best-Of-Breed Interfaces,42400.00,Commercial Auto,AUTO,New,Personal Services,Services,Direct Portal,94-4236417,Billings,MT,443-791-5924,ggarcia@rodriguez.com,53,1,84913791,64599,West,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
2923256,2022-01-19,2023-01-19,12,6082377,Maximize Interactive Systems,97000.00,Commercial Auto,AUTO,New,"Internet, Mail Order & Online Shops",Retail,Agent Email Not-ACORD,93-1686289,Charleston,WV,056-623-4974,francisjill@hotmail.com,970,3,566652660,16296,Southeast,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
4490506,2022-01-21,2023-01-21,12,5714563,Target Next-Generation Users,95800.00,Commercial Auto,AUTO,Renewal,Consumer Financial Services,Financial,Agent Portal,91-2067102,Anaheim,CA,421-506-8273,james06@gmail.com,479,2,464017359,31793,West,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
6384218,2022-01-08,2023-01-08,12,9068289,Evolve Next-Generation Web-Readiness,5900.00,Commercial Auto,AUTO,New,Alcoholic Beverages,Consumer Non Cyclical,Agent Email ACORD,98-4628116,Topeka,KS,112-780-6379,graceperry@yahoo.com,59,1,226535338,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
1764132,2022-01-24,2023-01-24,12,7503556,Visualize Viral Partnerships,109560.00,Commercial Auto,AUTO,Renewal,Forestry & Wood Products,Construction,Agent Email ACORD,91-5910455,Las Vegas,NV,649-923-4859,marklewis@johnson.biz,498,2,478148724,49345,West,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
1661954,2022-01-18,2023-01-18,12,4300628,Implement Granular Web Services,59750.00,Worker's Comp,WC,Renewal,Office Supplies,Consumer Non Cyclical,Agent Portal,92-3998201,Newport News,VA,546-607-3693,mmartin@gmail.com,239,2,78363081,31793,Southeast,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
7380417,2022-01-21,2023-01-21,12,4395164,Exploit Customized Supply-Chains,208800.00,Commercial Auto,AUTO,Renewal,Agricultural Production,Consumer Non Cyclical,Direct Portal,94-8468090,Madison,WI,656-178-0904,penapaul@gmail.com,348,2,426414144,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
3363580,2022-01-05,2023-01-05,12,3108154,Matrix Frictionless Solutions,7000.00,Commercial Auto,AUTO,Renewal,Department & Discount Retail,Retail,Agent Portal,94-6895401,Montpelier,VT,190-257-0169,vjordan@ellis-adams.net,70,1,16783130,25859,Northeast,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
924108,2022-01-13,2023-01-13,12,3795146,Architect 24/365 E-Commerce,8400.00,Commercial Auto,AUTO,New,Specialty Retail,Retail,Agent Portal,99-1113715,Minneapolis,MN,603-487-1690,ohall@berry-blake.info,42,1,24158736,34312,Central,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
6347035,2022-01-02,2023-01-02,12,7918933,Incubate Global Metrics,6400.00,Worker's Comp,WC,Renewal,Security & Armored Car Services,Transportation,Agent Portal,98-6134624,New York,NY,913-913-7168,vjones@gmail.com,10,1,1605270,25859,Northeast,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
2178390,2022-01-19,2023-01-19,12,2577664,Engage 24/365 Relationships,114450.00,Worker's Comp,WC,New,Technology Retail,Retail,Agent Portal,92-4653042,New Orleans,LA,581-413-9848,vmora@davis.com,327,2,231128178,25859,Central,49514,Premier Group Insurance Inc.,2023-06-01 19:49:38.000+0000
7775679,2022-01-09,2023-01-09,12,4518404,Maximize Interactive Supply-Chains,16280.00,Commercial Auto,AUTO,Renewal,Pharmacy Services & Retail Drugstore,Retail,Agent Portal,91-1340385,Anchorage,AK,497-086-5681,elewis@yahoo.com,74,1,164586064,34312,West,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
5825744,2022-01-07,2023-01-07,12,4281586,Iterate E-Business Initiatives,150500.00,Worker's Comp,WC,Renewal,Technology Retail,Retail,Agent Portal,98-5668757,Lee's Summit,MO,221-759-6907,bradfordkristina@hotmail.com,430,2,303930020,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
1942956,2022-01-22,2023-01-22,12,8683390,Transition Scalable E-Services,1450.00,Worker's Comp,WC,New,Forestry & Wood Products,Construction,Agent Email Not-ACORD,90-0936341,Bakersfield,CA,564-552-0613,fthompson@cox.com,5,1,4800690,49345,West,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
5065114,2022-01-01,2023-01-01,12,5628629,Engage Bricks-And-Clicks Deliverables,79300.00,Commercial Auto,AUTO,New,Retail Apparel,Retail,Agent Portal,98-3298242,Milwaukee,WI,521-101-8120,andrea02@bullock.com,793,3,157998906,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
4156825,2022-01-26,2023-01-26,12,5887397,Synthesize One-To-One Convergence,35100.00,Worker's Comp,WC,New,Consumer Financial Services,Financial,Agent Email ACORD,93-8724414,West Jordan,UT,647-657-2999,christopherbrown@thompson.com,135,2,130777335,89148,West,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
3448142,2022-01-06,2023-01-06,12,5321047,Transition One-To-One Initiatives,80960.00,Commercial Auto,AUTO,New,Restaurants,Services,Direct Voice,95-4343295,Augusta,GA,994-255-3337,jason39@graves-holt.net,368,2,66004480,69393,Southeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
9270257,2022-01-30,2023-01-30,12,4562067,Monetize Extensible E-Services,592650.00,Commercial Auto,AUTO,New,Special Transportation Services,Transportation,Agent Email Not-ACORD,92-0280888,Fargo,ND,215-333-1703,christopherperez@hensley.info,439,2,1487015920,31793,Central,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
4059524,2022-01-29,2023-01-29,12,7394485,Reinvent End-To-End Paradigms,63600.00,Commercial Auto,AUTO,Renewal,Retail Apparel,Retail,Agent Email Not-ACORD,92-8289678,Rio Rancho,NM,822-753-6285,hernandezpaul@hotmail.com,636,3,126717912,65294,West,98527,ALKEME,2023-06-01 19:49:38.000+0000
4759691,2022-01-18,2023-01-18,12,8649806,Extend Wireless E-Markets,585000.00,Commercial Auto,AUTO,New,Home Improvement,Construction,Agent Email ACORD,98-8408967,Anchorage,AK,521-412-1306,curtisclark@yahoo.com,500,2,198714500,27719,West,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
5661927,2022-01-30,2023-01-30,12,6897552,Generate Web-Enabled Info-Mediaries,18500.00,Worker's Comp,WC,Renewal,Investment Services,Financial,Agent Email Not-ACORD,94-6752539,North Charleston,SC,331-477-2930,jacksonkatie@nelson.info,74,1,87083422,83896,Southeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
1647968,2022-01-27,2023-01-27,12,5969084,Seize Enterprise Users,26600.00,Worker's Comp,WC,Renewal,Advertising,Services,Agent Email Not-ACORD,90-8567917,Anchorage,AK,876-634-6942,williamgallegos@armstrong-butler.com,38,1,11854214,65294,West,98527,ALKEME,2023-06-01 19:49:38.000+0000
584520,2022-01-22,2023-01-22,12,7720567,Revolutionize Turn-Key Channels,82500.00,Commercial Auto,AUTO,New,Restaurants,Services,Agent Email Not-ACORD,95-0521346,Olathe,KS,288-635-2103,jason15@hotmail.com,375,2,67260000,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
7506710,2022-01-04,2023-01-04,12,7317803,Drive Enterprise Content,45900.00,Commercial Auto,AUTO,Renewal,Investment Services,Financial,Direct Voice,99-0419098,Fayetteville,NC,411-618-2478,lawrencemichael@rodriguez-holland.com,459,2,540152577,69393,Southeast,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
2097987,2022-01-21,2023-01-21,12,7071164,Brand Bricks-And-Clicks Niches,276360.00,Commercial Auto,AUTO,Renewal,Wholesale,Retail,Agent Email ACORD,91-8483365,Omaha,NE,686-499-9574,callahantony@martin.org,282,2,267617436,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
4305226,2022-01-21,2023-01-21,12,2350827,Re-Contextualize Out-Of-The-Box E-Business,191100.00,Worker's Comp,WC,New,Professional Services,Services,Agent Portal,98-6167601,Oklahoma City,OK,709-176-6740,tylertaylor@ballard-king.com,245,2,109036025,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
7050155,2022-01-23,2023-01-23,12,9250087,Envisioneer Frictionless Bandwidth,26600.00,Worker's Comp,WC,New,Alcoholic Beverages,Consumer Non Cyclical,Agent Email Not-ACORD,92-6698540,Chicago,IL,447-412-9502,dennis36@yahoo.com,70,1,268770740,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
4849940,2022-01-01,2023-01-01,12,1685586,Disintermediate Synergistic Bandwidth,304980.00,Worker's Comp,WC,Renewal,Nonalcoholic Beverages,Consumer Non Cyclical,Agent Email ACORD,95-5313407,Lincoln,NE,377-255-6377,william71@hotmail.com,782,3,410331040,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
5380365,2022-01-21,2023-01-21,12,9913540,Unleash Global Web-Readiness,190240.00,Worker's Comp,WC,Renewal,Real Estate Operations,Services,Agent Email ACORD,98-7946421,Columbia,MO,314-731-5387,michaelfitzgerald@nielsen.org,328,2,473708752,27719,Central,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
8639017,2022-01-28,2023-01-28,12,7003150,Deploy Virtual Functionalities,729000.00,Commercial Auto,AUTO,Renewal,Security & Armored Car Services,Transportation,Agent Email Not-ACORD,90-2589216,Nashville,TN,875-891-9141,zwilliams@hotmail.com,405,2,65013435,16296,Central,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
8494870,2022-01-24,2023-01-24,12,7760700,Enable Value-Added Action-Items,127660.00,Worker's Comp,WC,New,Consumer Financial Services,Financial,Agent Email ACORD,94-1966772,Wichita,KS,151-655-2555,nelsonjoseph@yahoo.com,491,2,475642011,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
6694543,2022-01-04,2023-01-04,12,1409985,Incentivize Cross-Platform Content,311460.00,Worker's Comp,WC,New,Automotive Aftermarket,Retail,Agent Email Not-ACORD,95-6098228,Fargo,ND,534-388-3891,okelly@yahoo.com,537,3,418030872,89148,Central,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
5539397,2022-01-21,2023-01-21,12,9278430,Syndicate Robust Channels,243750.00,Commercial Auto,AUTO,New,Environmental Services,Services,Agent Portal,00-0059462,Washington,DC,999-272-9545,alexandercarl@gmail.com,375,2,151088625,27719,Northeast,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
8916548,2022-01-13,2023-01-13,12,9875145,Expedite Strategic Web-Readiness,14160.00,Worker's Comp,WC,Renewal,Insurance Brokerage,Financial,Agent Portal,91-1614942,Chicago,IL,686-231-0494,ggonzalez@hodges-brown.com,59,1,23922199,31793,Central,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
9685183,2022-01-03,2023-01-03,12,1747057,Revolutionize Mission-Critical Vortals,14100.00,Commercial Auto,AUTO,Renewal,"Internet, Mail Order & Online Shops",Retail,Agent Portal,93-9228888,Louisville,KY,967-162-3418,christine77@hotmail.com,141,2,82369098,31793,Central,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
7391807,2022-01-05,2023-01-05,12,6837671,Engage Virtual Metrics,80000.00,Commercial Auto,AUTO,Renewal,Real Estate Operations,Services,Agent Email ACORD,90-4271786,Montpelier,VT,189-274-3238,kevinrobinson@gmail.com,100,1,144423400,49345,Northeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
9432292,2022-01-13,2023-01-13,12,5550979,Synthesize Mission-Critical Experiences,70600.00,Commercial Auto,AUTO,Renewal,Consumer Financial Services,Financial,Agent Email ACORD,94-9626224,Columbus,OH,443-552-4878,sperez@gmail.com,353,2,341958513,49345,Central,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
6552072,2022-01-22,2023-01-22,12,2446706,Mesh Bleeding-Edge Paradigms,110800.00,Commercial Auto,AUTO,Renewal,Automotive Aftermarket,Retail,Direct Portal,94-4402908,Jackson,MS,343-005-7585,walteryoung@pierce.com,554,3,431264624,64599,Central,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
3242737,2022-01-05,2023-01-05,12,4525531,Repurpose Turn-Key Applications,47200.00,Commercial Auto,AUTO,Renewal,Department & Discount Retail,Retail,Agent Email Not-ACORD,98-2461886,Cape Coral,FL,414-116-1765,xwarren@gmail.com,472,2,113166248,49345,Southeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
2893933,2022-01-05,2023-01-05,12,8729383,Synergize Enterprise Web-Readiness,570240.00,Worker's Comp,WC,Renewal,Security & Armored Car Services,Transportation,Agent Portal,93-1970294,Columbus,GA,647-280-1388,nthompson@gmail.com,891,3,143029557,16296,Southeast,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
9379711,2022-01-17,2023-01-17,12,7876434,Re-Contextualize 24/7 Markets,70500.00,Commercial Auto,AUTO,New,Regional Banks,Financial,Agent Email Not-ACORD,93-5048025,Bridgeport,CT,327-630-6358,kmurillo@hotmail.com,705,3,367285965,83896,Northeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
787882,2022-01-05,2023-01-05,12,2902604,Facilitate Leading-Edge Models,19800.00,Commercial Auto,AUTO,New,Security & Armored Car Services,Transportation,Agent Portal,98-6872723,Saint Paul,MN,242-172-2506,morgancynthia@rodriguez.net,11,1,1765797,65294,Central,98527,ALKEME,2023-06-01 19:49:38.000+0000
1901529,2022-01-21,2023-01-21,12,9942755,Enable 24/365 Platforms,14000.00,Worker's Comp,WC,Renewal,Technology Retail,Retail,Agent Portal,98-2639429,Sioux Falls,SD,369-233-4045,lindaharris@gmail.com,40,1,28272560,34312,Central,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
2830546,2022-01-07,2023-01-07,12,1577884,Synthesize Dot-Com Partnerships,34900.00,Commercial Auto,AUTO,Renewal,Department & Discount Retail,Retail,Agent Email Not-ACORD,91-9322210,Winston–Salem,NC,926-215-6341,oacosta@gutierrez.com,349,2,83675891,83896,Southeast,64985,Shepherd Insurance,2023-06-01 19:49:38.000+0000
5496736,2022-01-07,2023-01-07,12,7973707,Expedite Open-Source Info-Mediaries,19750.00,Worker's Comp,WC,New,Investment Services,Financial,Agent Email ACORD,99-4108036,Anchorage,AK,126-218-9419,brian12@martinez-reyes.com,79,1,92967437,27719,West,64916,Houchens Insurance Group Inc.,2023-06-01 19:49:38.000+0000
1155440,2022-01-02,2023-01-02,12,2194975,Extend One-To-One Action-Items,21660.00,Worker's Comp,WC,Renewal,Alcoholic Beverages,Consumer Non Cyclical,Agent Email Not-ACORD,95-7956539,Henderson,NV,959-941-3416,ericatrevino@hotmail.com,57,1,218856174,65294,West,98527,ALKEME,2023-06-01 19:49:38.000+0000
5650720,2022-01-08,2023-01-08,12,3759630,Grow Integrated Infrastructures,18460.00,Worker's Comp,WC,New,Consumer Financial Services,Financial,Agent Email Not-ACORD,90-1095442,Manchester,NH,006-509-2808,cthomas@hotmail.com,71,1,68779191,49345,Northeast,47201,Robertson Ryan & Associates,2023-06-01 19:49:38.000+0000
6911141,2022-01-24,2023-01-24,12,6681451,Orchestrate Clicks-And-Mortar Interfaces,53360.00,Worker's Comp,WC,Renewal,"Internet, Mail Order & Online Shops",Retail,Agent Email Not-ACORD,94-2990171,Honolulu,HI,758-418-1797,cfrye@yahoo.com,92,1,53744376,16296,West,33375,Lawley LLC,2023-06-01 19:49:38.000+0000
7996995,2022-01-14,2023-01-14,12,4664639,Brand Granular Communities,72820.00,Commercial Auto,AUTO,Renewal,Restaurants,Services,Agent Email ACORD,90-5861020,Jackson,MS,436-503-1829,hrich@espinoza.com,331,2,59368160,34312,Central,10463,Towne Insurance,2023-06-01 19:49:38.000+0000
5488780,2022-01-26,2023-01-26,12,9166129,Embrace Magnetic Interfaces,16900.00,Commercial Auto,AUTO,Renewal,Office Supplies,Consumer Non Cyclical,Direct Portal,92-6396506,Jacksonville,FL,210-132-0971,stacey69@patel.com,169,2,55411551,64599,Southeast,48920,VBBI Online Insurance LLC.,2023-06-01 19:49:38.000+0000
3083112,2022-01-08,2023-01-08,12,3645322,Scale Extensible Mindshare,6400.00,Commercial Auto,AUTO,New,Professional Services,Services,Direct Voice,92-5275097,Broken Arrow,OK,809-789-5806,billyprice@kirk.com,8,1,3560360,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
5606802,2022-01-04,2023-01-04,12,2410644,Leverage Efficient Vortals,168350.00,Worker's Comp,WC,New,Technology Retail,Retail,Agent Portal,92-0972960,Chesapeake,VA,384-073-7534,asanders@schmidt-nichols.net,481,2,339977534,89148,Southeast,74785,Professional Insurance Associates,2023-06-01 19:49:38.000+0000
6632210,2022-01-20,2023-01-20,12,6427150,Harness Ubiquitous Applications,183260.00,Commercial Auto,AUTO,Renewal,Wholesale,Retail,Agent Portal,92-5005350,Brockton,MA,251-696-5070,toddlewis@hotmail.com,187,2,177462626,31793,Northeast,43449,Sterling Seacrest Pritchard,2023-06-01 19:49:38.000+0000
4494608,2022-01-01,2023-01-01,12,9118105,Transform Revolutionary Markets,240240.00,Commercial Auto,AUTO,New,Furniture & Fixtures,Retail,Direct Voice,95-3419707,Elgin,IL,239-949-1743,mcdonalddaniel@everett.net,728,3,246178296,69393,Central,94997,Van Buren Bay Insurance Co.,2023-06-01 19:49:38.000+0000
