policyid,customerno,policyquotationdate,policyeffectivedate,sex,firstname,lastname,customerdob,issuestate,city,country,issueage,smokingclass,uwclass,coverageunit,prodcode,yearlypremium,policystatus,sumassured,nationalid,maritalstatus,emailid,phoneno,policyterm,newrenew,producer,policyterminationdate,policyterminationreason,monthlypremium,agentcommision,premiumpaidtilldate,commisionpaidtilldate,beneficiaryname,beneficiaryrelationship,beneficiarypct,lastupdated
10009866,10045063,2022-10-12,2022/11/28,M,Jason,Gonzalez,1986/05/08,MN,Minneapolis,USA,36,N,1,391,A0001,449,A,391000,554-20-3438,single,wardgrace@hotmail.com,691-453-7768,15,N,P1000686,2037-11-28,,43.03,9.47,43.03,9.47,Mitchell Perry,Daughter,100,14/02/2023 10:19:06
10009867,10018585,2022-10-25,2022/11/29,M,Gary,Pierce,1991/04/02,MI,Lansing,USA,31,S,1,424,A0001,508,A,424000,745-47-7598,single,kyle28@hotmail.com,835-726-2767,15,R,P1000296,2037-11-29,,48.68,10.71,48.68,10.71,Thomas Blair,Daughter,100,14/02/2023 10:19:06
10009868,10037614,2022-11-20,2022/11/29,M,Daniel,Wong,2007/07/18,SD,Sioux Falls,USA,15,S,0,473,A0001,567,A,473000,365-80-9878,divorced,eyoung@gmail.com,157-086-1920,15,R,P1001966,2037-11-29,,54.34,11.95,54.34,11.95,Matthew Moore,Son,100,14/02/2023 10:19:06
10009869,10035188,2022-09-27,2022/11/29,M,Joe,Smith,2001/11/06,MN,Minneapolis,USA,21,N,0,319,A0001,366,A,319000,883-08-0745,married,johnsonheather@hotmail.com,866-069-8535,15,N,P1000796,2037-11-29,,35.07,7.72,35.07,7.72,Justin Myers,Daughter,100,14/02/2023 10:19:06
10009870,10045112,2022-09-26,2022/11/29,M,William,Warner,2000/01/12,CT,Hartford,USA,22,S,1,159,A0001,190,A,159000,588-59-1121,divorced,stephen45@gmail.com,500-112-1491,15,R,P1003266,2037-11-29,,18.21,4.01,18.21,4.01,Alicia Hernandez,Spouse,100,14/02/2023 10:19:06
10009871,10011166,2022-09-28,2022/11/29,M,Eric,Miller,1986/04/03,NM,Las Cruces,USA,36,S,1,401,A0001,481,A,401000,759-95-1374,single,christine75@hotmail.com,231-084-3506,15,R,P1000162,2037-11-29,,46.1,10.14,46.1,10.14,Sheryl Clark,Son,100,14/02/2023 10:19:06
10009872,10048240,2022-11-15,2022/11/29,M,Andrew,Shepherd,1989/08/28,AL,Montgomery,USA,33,N,0,411,A0001,472,A,411000,330-59-2619,divorced,iprice@hotmail.com,059-692-9824,15,R,P1001545,2037-11-29,,45.23,9.95,45.23,9.95,Christopher Crawford,Spouse,100,14/02/2023 10:19:06
10009873,10005297,2022-10-03,2022/11/29,M,Juan,Snyder,1946/01/14,NE,Lincoln,USA,76,S,1,218,A0001,305,A,218000,026-73-5310,married,zhicks@yahoo.com,372-714-4637,15,R,P1000527,2037-11-29,,29.23,6.43,29.23,6.43,Mark Woods Jr.,Son,100,14/02/2023 10:19:06
10009874,10017690,2022-11-09,2022/11/29,F,Stephanie,Rodriguez,1994/07/03,OH,Cleveland,USA,28,N,0,407,A0001,468,A,407000,579-87-8690,single,kentgrace@gmail.com,667-004-5543,15,N,P1002008,2037-11-29,,44.85,9.87,44.85,9.87,Daniel Rodriguez,Son,100,14/02/2023 10:19:06
10009875,10020498,2022-11-23,2022/11/29,F,Nicole,Stevens,1981/11/19,MD,Baltimore,USA,41,S,0,379,A0001,454,A,379000,108-45-8921,single,ljimenez@yahoo.com,619-921-8906,15,R,P1000005,2037-11-29,,43.51,9.57,43.51,9.57,Stephanie Patton,Daughter,100,14/02/2023 10:19:06
10009876,10012456,2022-10-24,2022/11/30,F,Dana,Smith,2000/05/08,IL,Chicago,USA,22,S,0,358,A0001,429,A,358000,391-26-9251,single,hgriffin@hotmail.com,495-477-3725,15,R,P1000899,2037-11-30,,41.11,9.04,41.11,9.04,Jill Fisher,Spouse,100,14/02/2023 10:19:06
10009877,10005397,2022-11-04,2022/11/30,F,Melissa,Collins,1973/01/16,MA,Cambridge,USA,49,S,1,340,A0001,475,A,340000,476-05-4522,single,zryan@yahoo.com,577-464-5146,15,N,P1000042,2037-11-30,,45.52,10.01,45.52,10.01,Anthony Williams,Daughter,100,14/02/2023 10:19:06
10009878,10010348,2022-10-21,2022/11/30,M,Jason,Schmitt,1973/10/05,AK,Anchorage,USA,49,S,1,139,A0001,194,A,139000,806-58-6712,divorced,kyleramsey@yahoo.com,165-894-2224,15,N,P1002654,2037-11-30,,18.59,4.09,18.59,4.09,Yolanda Mayo,Son,100,14/02/2023 10:19:06
10009879,10022256,2022-10-09,2022/11/30,F,Kayla,Butler,1997/05/24,MD,Baltimore,USA,25,N,1,290,A0001,333,A,290000,462-16-1649,married,jacob69@gmail.com,094-788-5304,15,N,P1001954,2037-11-30,,31.91,7.02,31.91,7.02,Caroline Adkins,Daughter,100,14/02/2023 10:19:06
10009880,10024176,2022-09-05,2022/11/30,M,Robert,Ramirez,1989/05/25,NE,Omaha,USA,33,N,0,423,A0001,486,A,423000,158-65-1419,married,christie39@yahoo.com,330-471-2588,15,R,P1001378,2037-11-30,,46.57,10.25,46.57,10.25,Erik Richards,Son,100,14/02/2023 10:19:06
10009881,10011369,2022-09-18,2022/12/01,M,Brian,Small,1976/07/09,AR,Little Rock,USA,46,N,2,124,A0001,161,A,124000,405-03-9443,single,jimenezjeffrey@hotmail.com,818-704-1102,15,R,P1002653,2037-12-01,,15.43,3.39,15.43,3.39,Victoria Romero,Spouse,100,14/02/2023 10:19:06
10009882,10006368,2022-11-11,2022/12/01,M,Maurice,Lewis,1985/08/13,GA,Columbus,USA,37,N,1,284,A0001,326,A,284000,874-59-1834,single,xdelacruz@gmail.com,002-210-7221,15,R,P1002725,2037-12-01,,31.24,6.87,31.24,6.87,Gerald Schneider,Spouse,100,14/02/2023 10:19:06
10009883,10039834,2022-11-18,2022/12/01,M,Christopher,Ramirez,1940/04/15,IN,Indianapolis,USA,82,N,1,379,A0001,227,A,379000,327-39-7830,divorced,annagoodwin@yahoo.com,479-816-1784,15,N,P1003673,2037-12-01,,21.75,4.79,21.75,4.79,Daniel Williams,Daughter,100,14/02/2023 10:19:06
10009884,10000651,2022-10-15,2022/12/01,F,Abigail,Cruz,1975/09/02,MA,Quincy,USA,47,S,0,418,A0001,585,A,418000,150-43-4009,married,melissa08@gmail.com,332-447-8325,15,N,P1001361,2037-12-01,,56.06,12.33,56.06,12.33,Jessica Sullivan,Son,100,14/02/2023 10:19:06
10009885,10039414,2022-11-06,2022/12/01,F,Sherry,King,1944/11/30,MS,Jackson,USA,78,S,0,173,A0001,242,A,173000,754-36-0946,single,ewright@hotmail.com,030-156-7735,15,N,P1002159,2037-12-01,,23.19,5.1,23.19,5.1,Patricia Martinez,Son,100,14/02/2023 10:19:06
10009886,10030966,2022-09-20,2022/12/01,M,Austin,Wright,1966/04/29,CA,Los Angeles,USA,56,S,0,377,A0001,527,A,377000,600-91-9975,single,marvin31@gmail.com,356-495-0102,15,R,P1001571,2037-12-01,,50.5,11.11,50.5,11.11,Jeffrey Duffy,Daughter,100,14/02/2023 10:19:06
10009887,10028163,2022-09-16,2022/12/01,F,Ashley,Ramos,1952/04/03,OH,Columbus,USA,70,N,0,196,A0001,254,A,196000,440-85-0446,single,hreeves@yahoo.com,265-434-8560,15,N,P1000156,2037-12-01,,24.34,5.35,24.34,5.35,Jennifer Fields,Daughter,100,14/02/2023 10:19:06
10009888,10019421,2022-11-28,2022/12/01,F,Chelsea,Grant,1994/01/28,NE,Omaha,USA,28,S,0,450,A0001,540,A,450000,840-67-8856,married,robersonkenneth@hotmail.com,115-528-3200,15,R,P1000707,2037-12-01,,51.75,11.38,51.75,11.38,Valerie Stout,Daughter,100,14/02/2023 10:19:06
10009889,10025139,2022-11-15,2022/12/01,M,Anthony,Vaughn,1944/01/22,NH,Manchester,USA,78,N,2,486,A0001,631,A,486000,356-44-6854,married,omunoz@hotmail.com,896-577-4395,15,R,P1003933,2037-12-01,,60.47,13.3,60.47,13.3,Jessica Ford,Son,100,14/02/2023 10:19:06
10009890,10036153,2022-10-11,2022/12/01,F,Patricia,Weiss,1975/01/02,MS,Jackson,USA,47,S,2,368,A0001,515,A,368000,834-04-9558,single,kimberlyduncan@hotmail.com,155-924-2124,15,N,P1002743,2037-12-01,,49.35,10.86,49.35,10.86,Amanda Evans,Daughter,100,14/02/2023 10:19:06
10009891,10016549,2022-10-31,2022/12/01,F,Linda,Bailey,2005/08/23,OR,Portland,USA,17,S,2,263,A0001,315,A,263000,454-32-2564,divorced,stephaniecraig@hotmail.com,415-601-3569,15,R,P1002358,2037-12-01,,30.19,6.64,30.19,6.64,Barbara Kelly,Son,100,14/02/2023 10:19:06
10009892,10015621,2022-10-12,2022/12/01,F,Amy,Jones,1948/08/06,CO,Denver,USA,74,S,0,495,A0001,693,A,495000,771-04-2693,single,ktorres@hotmail.com,420-880-7445,15,N,P1000553,2037-12-01,,66.41,14.61,66.41,14.61,Michele Nichols,Son,100,14/02/2023 10:19:06
10009893,10024136,2022-11-20,2022/12/01,F,Susan,Mercer,1975/11/10,WI,Milwaukee,USA,47,N,2,473,A0001,614,A,473000,471-81-0664,single,emily05@yahoo.com,711-155-9805,15,R,P1002242,2037-12-01,,58.84,12.94,58.84,12.94,Sarah Kennedy,Son,100,14/02/2023 10:19:06
10009894,10008327,2022-11-06,2022/12/01,M,David,Curtis,2003/07/07,IN,Indianapolis,USA,19,S,1,300,A0001,360,A,300000,012-83-0621,single,jesusking@hotmail.com,559-266-5662,15,N,P1001677,2037-12-01,,34.5,7.59,34.5,7.59,William Burnett,Daughter,100,14/02/2023 10:19:06
10009895,10022957,2022-09-25,2022/12/01,F,Megan,Moore,1966/03/11,NM,Albuquerque,USA,56,N,1,145,A0001,188,A,145000,895-38-4166,divorced,bryan40@gmail.com,306-146-3898,15,R,P1002768,2037-12-01,,18.02,3.96,18.02,3.96,Richard Gates,Son,100,14/02/2023 10:19:06
10009896,10043542,2022-10-11,2022/12/02,F,Briana,Ray,1983/04/28,KS,Kansas City,USA,39,S,0,378,A0001,453,A,378000,583-08-9406,divorced,copelandtara@yahoo.com,280-467-1297,15,N,P1002240,2037-12-02,,43.41,9.55,43.41,9.55,Summer Castillo,Spouse,100,14/02/2023 10:19:06
10009897,10028380,2022-11-01,2022/12/02,M,Christopher,Foster,1974/10/29,OR,Portland,USA,48,N,1,376,A0001,488,A,376000,137-21-6197,single,dclark@yahoo.com,247-761-4736,15,R,P1001256,2037-12-02,,46.77,10.29,46.77,10.29,Kenneth Carter,Son,100,14/02/2023 10:19:06
10009898,10032916,2022-10-16,2022/12/02,F,Alicia,Ochoa,1994/06/19,NC,Charlotte,USA,28,S,2,142,A0001,170,A,142000,558-26-9801,married,bryantrichard@yahoo.com,803-049-4391,15,R,P1002191,2037-12-02,,16.29,3.58,16.29,3.58,Madison Gray,Son,100,14/02/2023 10:19:06
10009899,10047369,2022-09-23,2022/12/02,M,William,Moore,2000/11/19,OR,Eugene,USA,22,N,1,338,A0001,388,A,338000,880-17-3598,single,elizabeth08@hotmail.com,194-366-1845,15,N,P1003036,2037-12-02,,37.18,8.18,37.18,8.18,John Taylor,Son,100,14/02/2023 10:19:06
10009900,10006197,2022-11-07,2022/12/02,M,Kyle,Becker,1973/08/05,SD,Sioux Falls,USA,49,N,0,67,A0001,87,A,67000,069-20-8369,married,fitzgeraldjennifer@hotmail.com,789-397-2043,15,N,P1001657,2037-12-02,,8.34,1.83,8.34,1.83,Adriana Reid,Son,100,14/02/2023 10:19:06
10009901,10003826,2022-11-23,2022/12/02,M,Rodney,Gill,1942/11/17,ME,Augusta,USA,80,N,0,259,A0001,336,A,259000,277-76-4457,single,pcuevas@yahoo.com,937-357-5964,15,N,P1003847,2037-12-02,,32.2,7.08,32.2,7.08,Adam Garrett,Daughter,100,14/02/2023 10:19:06
10009902,10026246,2022-10-06,2022/12/02,M,Keith,Mcpherson,1962/06/12,MS,Jackson,USA,60,S,1,254,A0001,355,A,254000,437-07-3507,single,swong@gmail.com,545-857-0360,15,N,P1002480,2037-12-02,,34.02,7.48,34.02,7.48,Patricia Huang,Daughter,100,14/02/2023 10:19:06
10009903,10027019,2022-10-05,2022/12/02,F,Julie,Roberts,1955/12/28,NJ,Lakewood,USA,66,S,2,437,A0001,611,A,437000,894-02-8497,married,carly05@hotmail.com,485-785-2597,15,R,P1002359,2037-12-02,,58.55,12.88,58.55,12.88,Stephanie Colon,Spouse,100,14/02/2023 10:19:06
10009904,10019938,2022-11-10,2022/12/03,F,Amanda,Watts,1986/08/28,MI,Dearborn,USA,36,N,1,95,A0001,109,A,95000,567-56-6378,single,dakota65@gmail.com,863-544-5407,15,N,P1001835,2037-12-03,,10.45,2.3,10.45,2.3,Andre Rodriguez,Son,100,14/02/2023 10:19:06
10009905,10033470,2022-09-05,2022/12/03,F,Rachel,Bryan,1955/09/16,AZ,Peoria,USA,67,N,1,178,A0001,231,A,178000,800-47-8350,divorced,tray@yahoo.com,831-352-3108,15,R,P1003029,2037-12-03,,22.14,4.87,22.14,4.87,Bill Robinson,Son,100,14/02/2023 10:19:06
10009906,10046527,2022-10-23,2022/12/03,F,Christina,Jones,1942/01/30,DE,Dover,USA,80,S,2,353,A0001,494,A,353000,875-13-1391,married,shawn21@gmail.com,545-458-2375,15,R,P1003768,2037-12-03,,47.34,10.41,47.34,10.41,Eric Atkins,Spouse,100,14/02/2023 10:19:06
10009907,10018154,2022-11-21,2022/12/04,F,Diane,Morales,1979/02/25,NH,Manchester,USA,43,S,1,339,A0001,406,A,339000,173-37-6585,single,donna27@yahoo.com,209-450-5915,15,R,P1001888,2037-12-04,,38.91,8.56,38.91,8.56,Jessica Bridges,Spouse,100,14/02/2023 10:19:06
10009908,10002564,2022-11-26,2022/12/04,M,Johnny,Kelly,1943/05/01,MS,Jackson,USA,79,N,1,391,A0001,508,A,391000,869-32-2670,single,asmith@hotmail.com,818-808-3519,15,R,P1003175,2037-12-04,,48.68,10.71,48.68,10.71,Stacey Gregory,Son,100,14/02/2023 10:19:06
10009909,10008720,2022-11-26,2022/12/04,M,Stephen,Miller,1971/02/07,SD,Sioux Falls,USA,51,N,0,186,A0001,241,A,186000,496-43-8238,married,tlivingston@gmail.com,524-717-7826,15,R,P1003969,2037-12-04,,23.1,5.08,23.1,5.08,Cassandra Lopez,Son,100,14/02/2023 10:19:06
10009910,10027297,2022-09-19,2022/12/04,M,Ryan,Butler,1979/11/08,HI,Honolulu,USA,43,S,0,153,A0001,183,A,153000,868-17-9419,married,murphyrebecca@gmail.com,751-032-3827,15,R,P1001065,2037-12-04,,17.54,3.86,17.54,3.86,Theresa Tucker,Daughter,100,14/02/2023 10:19:06
10009911,10001870,2022-10-10,2022/12/04,F,Courtney,Flores,1961/03/03,FL,Cape Coral,USA,61,S,0,105,A0001,147,A,105000,804-69-4155,single,theresaalexander@hotmail.com,921-139-0366,15,N,P1000184,2037-12-04,,14.09,3.1,14.09,3.1,Sharon Sawyer,Son,100,14/02/2023 10:19:06
10009912,10032908,2022-10-03,2022/12/04,M,Frank,Braun,1970/11/09,WA,Seattle,USA,52,N,1,324,A0001,421,A,324000,312-01-1917,single,cory63@yahoo.com,042-937-0296,15,N,P1001868,2037-12-04,,40.35,8.88,40.35,8.88,Joel Morgan,Spouse,100,14/02/2023 10:19:06
10009913,10011087,2022-10-14,2022/12/04,M,Bryan,Liu,1957/07/09,PA,Philadelphia,USA,65,N,2,407,A0001,529,A,407000,132-03-3400,single,joel08@gmail.com,446-672-4753,15,R,P1002484,2037-12-04,,50.7,11.15,50.7,11.15,Jesse Jefferson,Spouse,100,14/02/2023 10:19:06
10009914,10037373,2022-09-11,2022/12/04,F,Stephanie,Ryan,1996/10/04,NH,Manchester,USA,26,N,1,55,A0001,63,A,55000,438-50-9651,divorced,brooke49@hotmail.com,580-166-5061,15,R,P1003331,2037-12-04,,6.04,1.33,6.04,1.33,Heather Nelson,Daughter,100,14/02/2023 10:19:06
10009915,10002778,2022-11-24,2022/12/04,M,Herbert,Andrews,1949/10/04,MD,Baltimore,USA,73,S,1,308,A0001,431,A,308000,403-68-2185,married,diamond22@gmail.com,964-285-1627,15,R,P1003014,2037-12-04,,41.3,9.09,41.3,9.09,Christopher Gardner,Son,100,14/02/2023 10:19:06
10009916,10020966,2022-10-22,2022/12/04,F,Kathryn,Lee,1996/12/21,WV,Charleston,USA,25,S,2,285,A0001,342,A,285000,244-07-3168,divorced,jody28@hotmail.com,532-156-2479,15,N,P1000677,2037-12-04,,32.77,7.21,32.77,7.21,Rebecca Gentry,Son,100,14/02/2023 10:19:06
10009917,10049675,2022-11-17,2022/12/04,F,Traci,Rush,1967/08/18,ID,Nampa,USA,55,N,2,73,A0001,94,A,73000,017-04-9090,married,cconley@yahoo.com,131-396-1013,15,R,P1001387,2037-12-04,,9.01,1.98,9.01,1.98,Aaron Peters PhD,Spouse,100,14/02/2023 10:19:06
10009918,10013746,2022-10-09,2022/12/04,F,Tamara,Ward,1989/05/25,NM,Rio Rancho,USA,33,S,1,370,A0001,444,A,370000,647-25-3325,divorced,pacewilliam@hotmail.com,805-749-5008,15,R,P1002342,2037-12-04,,42.55,9.36,42.55,9.36,Victoria Jones,Spouse,100,14/02/2023 10:19:06
10009919,10034447,2022-09-20,2022/12/05,M,Andrew,Jones,1958/06/10,OR,Portland,USA,64,S,2,323,A0001,452,A,323000,384-64-6677,divorced,valerie73@gmail.com,666-322-6342,15,N,P1000755,2037-12-05,,43.32,9.53,43.32,9.53,Catherine Carlson,Daughter,100,14/02/2023 10:19:06
10009920,10005602,2022-09-22,2022/12/05,M,Travis,Hampton,1940/10/18,VA,Chesapeake,USA,82,S,0,267,A0001,160,A,267000,411-78-7233,single,richard93@gmail.com,806-751-9113,15,R,P1002029,2037-12-05,,15.33,3.37,15.33,3.37,Christine Davis,Spouse,100,14/02/2023 10:19:06
10009921,10021514,2022-11-06,2022/12/06,F,Cassandra,Brooks,1951/11/13,TX,Houston,USA,71,N,0,476,A0001,618,A,476000,244-24-7157,married,patriciaflores@yahoo.com,691-621-1138,15,R,P1003135,2037-12-06,,59.22,13.03,59.22,13.03,Fred Mccall,Daughter,100,14/02/2023 10:19:06
10009922,10032824,2022-09-16,2022/12/06,M,Manuel,Collins,1981/04/25,AL,Birmingham,USA,41,N,2,446,A0001,512,A,446000,746-21-7403,single,gthompson@gmail.com,519-427-3236,15,R,P1000564,2037-12-06,,49.07,10.8,49.07,10.8,Justin Craig,Spouse,100,14/02/2023 10:19:06
10009923,10029851,2022-12-02,2022/12/06,M,Ian,Walker,2007/12/29,MT,Billings,USA,14,N,1,494,A0001,568,A,494000,500-58-9196,divorced,michealmiles@gmail.com,103-797-0529,15,R,P1003307,2037-12-06,,54.43,11.97,54.43,11.97,Katrina Jones,Spouse,100,14/02/2023 10:19:06
10009924,10048017,2022-09-13,2022/12/06,M,Dalton,Flores,1948/04/03,OH,Columbus,USA,74,N,0,257,A0001,334,A,257000,098-36-4062,married,jacob53@hotmail.com,351-143-4812,15,N,P1003375,2037-12-06,,32.01,7.04,32.01,7.04,Ashley Brown,Spouse,100,14/02/2023 10:19:06
10009925,10047065,2022-10-28,2022/12/06,F,Brandy,Sanders,1962/07/12,TX,Tyler,USA,60,S,1,138,A0001,193,A,138000,080-42-2427,married,matthew94@gmail.com,967-901-7789,15,N,P1001999,2037-12-06,,18.5,4.07,18.5,4.07,Brian Wells,Son,100,14/02/2023 10:19:06
10009926,10005315,2022-10-21,2022/12/06,F,Ashley,Daniel,1946/02/07,NJ,Newark,USA,76,N,2,287,A0001,373,A,287000,668-73-7522,single,torresnatasha@gmail.com,472-687-4936,15,N,P1000475,2037-12-06,,35.75,7.87,35.75,7.87,Cynthia Olson,Daughter,100,14/02/2023 10:19:06
10009927,10030352,2022-10-02,2022/12/06,F,Rachel,Faulkner,1952/05/30,LA,Shreveport,USA,70,S,2,206,A0001,288,A,206000,160-47-9367,divorced,allen13@yahoo.com,604-581-3290,15,N,P1002330,2037-12-06,,27.6,6.07,27.6,6.07,Paul Taylor,Spouse,100,14/02/2023 10:19:06
10009928,10007150,2022-10-20,2022/12/06,F,Joanna,Day,1975/01/23,DE,Dover,USA,47,N,2,444,A0001,577,A,444000,108-72-7086,married,bianca15@hotmail.com,620-110-2406,15,R,P1001245,2037-12-06,,55.3,12.17,55.3,12.17,William Hancock,Spouse,100,14/02/2023 10:19:06
10009929,10008525,2022-10-25,2022/12/06,M,David,Cox,1976/02/19,KY,Louisville,USA,46,N,2,77,A0001,100,A,77000,623-48-8256,divorced,kevinjones@hotmail.com,942-699-8093,15,R,P1001374,2037-12-06,,9.58,2.11,9.58,2.11,Samuel Brown,Spouse,100,14/02/2023 10:19:06
10009930,10027098,2022-11-05,2022/12/06,F,Monica,Barber,1992/06/12,SD,Sioux Falls,USA,30,S,1,439,A0001,526,A,439000,559-81-7284,divorced,angelamarquez@gmail.com,701-644-7452,15,N,P1003706,2037-12-06,,50.41,11.09,50.41,11.09,Denise Jones,Daughter,100,14/02/2023 10:19:06
10009931,10015721,2022-10-12,2022/12/06,M,Alexander,Wilson,2000/06/30,VA,Chesapeake,USA,22,N,1,266,A0001,305,A,266000,438-41-8727,married,shelley98@yahoo.com,911-381-2157,15,R,P1003527,2037-12-06,,29.23,6.43,29.23,6.43,Richard Reeves,Spouse,100,14/02/2023 10:19:06
10009932,10026235,2022-10-14,2022/12/06,M,Daniel,Perry,1953/02/17,AZ,Mesa,USA,69,S,1,134,A0001,187,A,134000,725-22-2839,divorced,amberdalton@yahoo.com,882-001-4986,15,N,P1002088,2037-12-06,,17.92,3.94,17.92,3.94,Carol Wood DDS,Daughter,100,14/02/2023 10:19:06
10009933,10013513,2022-11-26,2022/12/07,F,Sarah,Gordon,1963/12/24,NM,Las Cruces,USA,58,S,2,83,A0001,116,A,83000,890-78-8453,single,welchjennifer@yahoo.com,558-145-6467,15,N,P1001607,2037-12-07,,11.12,2.45,11.12,2.45,Jennifer Patrick,Son,100,14/02/2023 10:19:06
10009934,10004488,2022-10-22,2022/12/07,F,Lisa,Davis,1944/06/01,OR,Eugene,USA,78,S,1,281,A0001,393,A,281000,593-32-5238,single,ubooth@hotmail.com,881-182-4555,15,R,P1003568,2037-12-07,,37.66,8.29,37.66,8.29,Jason Turner,Son,100,14/02/2023 10:19:06
10009935,10044912,2022-09-19,2022/12/07,M,Donald,Walter,1987/07/24,GA,Macon,USA,35,S,2,208,A0001,249,A,208000,153-28-4881,single,ehowe@yahoo.com,199-599-2711,15,R,P1002375,2037-12-07,,23.86,5.25,23.86,5.25,Autumn Mathews,Son,100,14/02/2023 10:19:06
10009936,10045129,2022-11-26,2022/12/07,M,Ryan,Bradley,1947/07/26,IL,Chicago,USA,75,S,0,457,A0001,639,A,457000,528-51-2664,divorced,fjames@hotmail.com,611-222-8270,15,N,P1002553,2037-12-07,,61.24,13.47,61.24,13.47,Sheena Ortega,Son,100,14/02/2023 10:19:06
10009937,10024372,2022-09-23,2022/12/07,F,Crystal,Leon,2005/09/15,RI,Providence,USA,17,N,0,332,A0001,381,A,332000,406-87-3042,single,loneill@gmail.com,528-613-2500,15,N,P1001196,2037-12-07,,36.51,8.03,36.51,8.03,Jennifer Parks,Son,100,14/02/2023 10:19:06
