claimno,policyid,firstname,lastname,claimsreporteddate,policyeffectivedate,claimstatus,claimdescription,adjudicationstatus,adjudicationdescription,EOBgenerated,claimamount,paidamount,adjudicationdate,paymentdate,beneficiaryname,beneficiaryrelationship,beneficiarypct,checkno,lastupdated
10000048,10000208,Michael,Williams,02/02/2020,2020/01/26,I,Inprogress,DP,Document in Process,N,97000,,,,Nicole Schmidt,Daughter,100,,14/02/2023 10:26:20
10000049,10000209,Lisa,Bowman,02/02/2020,2020/01/26,R,Received,,,N,317000,,,,James Knight,Spouse,100,,14/02/2023 10:26:20
10000050,10000213,Cody,Santana,02/02/2020,2020/01/27,A,Adjudicated,,,Y,441000,,02/23/2020,,Donald Mcknight MD,Son,100,,14/02/2023 10:26:20
10000051,10000224,Billy,Morgan,02/02/2020,2020/01/29,I,Inprogress,FI,Fraud Investigation In Progress,Y,53000,,,,Scott Cole,Daughter,100,,14/02/2023 10:26:20
10000052,10000229,Michelle,Walker,02/02/2020,2020/01/29,I,Inprogress,PL,Policy Lapsed,N,184000,,,,Charles Jones,Son,100,,14/02/2023 10:26:20
10000053,10000231,Thomas,Klein,02/02/2020,2020/01/29,R,Received,,,N,303000,,,,Joseph Farrell,Daughter,100,,14/02/2023 10:26:20
10000054,10000251,Alyssa,Graham,02/02/2020,2020/02/01,A,Adjudicated,,,Y,437000,,02/20/2020,,Angela Serrano,Son,100,,14/02/2023 10:26:20
10000055,10000252,Kari,Chase,02/02/2020,2020/02/01,A,Adjudicated,,,Y,147000,,02/23/2020,,Sara Jenkins,Daughter,100,,14/02/2023 10:26:20
10000056,10000272,Paul,Sheppard,03/01/2020,2020/01/28,A,Adjudicated,,,N,359000,,03/28/2020,,Judy Stafford,Daughter,100,,14/02/2023 10:26:20
10000057,10000274,Megan,Hall,03/01/2020,2020/01/28,R,Received,,,Y,403000,,,,Amy Clark,Spouse,100,,14/02/2023 10:26:20
10000058,10000283,Erica,Harris,03/01/2020,2020/01/30,I,Inprogress,RA,Requirement Awaited,N,271000,,,,Christopher Cook,Daughter,100,,14/02/2023 10:26:20
10000059,10000288,Susan,Wheeler,03/01/2020,2020/01/30,P,Paid,,,Y,113000,113000,,04/03/2020,Amanda Chan,Spouse,100,1001001,14/02/2023 10:26:20
10000060,10000292,Larry,Simpson,03/01/2020,2020/01/31,I,Inprogress,PL,Policy Lapsed,Y,483000,,,,Brittany Johnson,Spouse,100,,14/02/2023 10:26:20
10000061,10000294,Holly,Patterson,03/01/2020,2020/02/01,I,Inprogress,RA,Requirement Awaited,Y,414000,,,,Nicholas Vazquez,Spouse,100,,14/02/2023 10:26:20
10000062,10000295,Michael,Owens,03/01/2020,2020/02/01,A,Adjudicated,,,N,92000,,03/26/2020,,Matthew Johnson,Spouse,100,,14/02/2023 10:26:20
10000063,10000298,Grace,Morrison,03/01/2020,2020/02/01,P,Paid,,,N,156000,156000,,03/23/2020,Jason Cox,Spouse,100,1001001,14/02/2023 10:26:20
10000064,10000300,Andrew,Moore,03/01/2020,2020/02/01,R,Received,,,Y,115000,,,,Courtney Davis,Spouse,100,,14/02/2023 10:26:20
10000065,10000301,Gabriel,Stone,03/01/2020,2020/02/01,P,Paid,,,Y,492000,492000,,03/24/2020,Carla Fischer,Daughter,100,1001001,14/02/2023 10:26:20
10000066,10000304,Sarah,Yoder,03/01/2020,2020/02/01,P,Paid,,,Y,332000,332000,,03/20/2020,Timothy Johns,Spouse,100,1001001,14/02/2023 10:26:20
10000067,10000309,Amber,Ellison,03/01/2020,2020/02/02,I,Inprogress,FI,Fraud Investigation In Progress,N,189000,,,,Vincent Johnson,Daughter,100,,14/02/2023 10:26:20
10000068,10000312,William,Smith,03/01/2020,2020/02/03,I,Inprogress,RA,Requirement Awaited,N,119000,,,,Sean Walker,Son,100,,14/02/2023 10:26:20
10000069,10000315,Michael,Mccoy,03/01/2020,2020/02/03,P,Paid,,,N,172000,172000,,03/12/2020,Christine Taylor,Daughter,100,1001001,14/02/2023 10:26:20
10000070,10000316,Jeffrey,Rodriguez,03/01/2020,2020/02/03,A,Adjudicated,,,Y,319000,,03/31/2020,,Jessica Rodriguez,Daughter,100,,14/02/2023 10:26:20
10000071,10000321,Maria,Garza,03/01/2020,2020/02/04,I,Inprogress,FI,Fraud Investigation In Progress,N,278000,,,,Karen Lowe,Son,100,,14/02/2023 10:26:20
10000072,10000324,Mary,Lee,03/01/2020,2020/02/04,P,Paid,,,N,83000,83000,,03/21/2020,Kelly Conner,Daughter,100,1001001,14/02/2023 10:26:20
10000073,10000332,Joseph,Anderson,03/01/2020,2020/02/05,A,Adjudicated,,,N,108000,,03/10/2020,,Shelly Velasquez,Son,100,,14/02/2023 10:26:20
10000074,10000341,Jennifer,Johnston,03/01/2020,2020/02/06,P,Paid,,,Y,232000,232000,,04/05/2020,William Ruiz,Daughter,100,1001001,14/02/2023 10:26:20
10000075,10000343,Kylie,Preston,03/01/2020,2020/02/06,I,Inprogress,PL,Policy Lapsed,Y,389000,,,,Stephanie Thomas,Daughter,100,,14/02/2023 10:26:20
10000076,10000349,Amy,Oneal,03/01/2020,2020/02/06,A,Adjudicated,,,Y,230000,,03/16/2020,,Mark Clark,Spouse,100,,14/02/2023 10:26:20
10000077,10000350,Donna,Carter,03/01/2020,2020/02/07,A,Adjudicated,,,Y,308000,,03/25/2020,,Mark Thomas,Daughter,100,,14/02/2023 10:26:20
10000078,10000353,Patrick,Chapman,03/01/2020,2020/02/07,I,Inprogress,RA,Requirement Awaited,N,308000,,,,Elizabeth Newman,Daughter,100,,14/02/2023 10:26:20
10000079,10000356,John,Stewart,03/01/2020,2020/02/07,R,Received,,,N,386000,,,,Stacy Holt,Son,100,,14/02/2023 10:26:20
10000080,10000359,George,Rodriguez,03/01/2020,2020/02/07,I,Inprogress,RA,Requirement Awaited,N,322000,,,,Heather Valentine,Son,100,,14/02/2023 10:26:20
10000081,10000365,Erin,Whitehead,03/01/2020,2020/02/08,I,Inprogress,FI,Fraud Investigation In Progress,Y,241000,,,,Paula Brewer,Son,100,,14/02/2023 10:26:20
10000082,10000374,Calvin,Mason,03/01/2020,2020/02/09,A,Adjudicated,,,Y,430000,,03/24/2020,,John Howe,Son,100,,14/02/2023 10:26:20
10000083,10000376,Frances,Tucker,03/01/2020,2020/02/09,P,Paid,,,N,178000,178000,,04/02/2020,Rachel Stewart,Spouse,100,1001001,14/02/2023 10:26:20
10000084,10000399,Whitney,Warner,03/01/2020,2020/02/11,P,Paid,,,Y,53000,53000,,03/15/2020,Frank Taylor,Spouse,100,1001001,14/02/2023 10:26:20
10000085,10000406,Samuel,Snyder,03/01/2020,2020/02/12,A,Adjudicated,,,Y,260000,,03/29/2020,,Thomas Moran,Son,100,,14/02/2023 10:26:20
10000086,10000408,Gregory,Fox,03/01/2020,2020/02/12,A,Adjudicated,,,Y,249000,,03/23/2020,,Marc Andrews,Son,100,,14/02/2023 10:26:20
10000087,10000417,Anita,Dominguez,03/01/2020,2020/02/14,A,Adjudicated,,,Y,259000,,03/27/2020,,Robert Tyler,Son,100,,14/02/2023 10:26:20
10000088,10000423,Austin,Sharp,03/01/2020,2020/02/14,A,Adjudicated,,,N,318000,,03/16/2020,,Jennifer Cole,Daughter,100,,14/02/2023 10:26:20
10000089,10000430,Paul,Nelson,03/01/2020,2020/02/16,A,Adjudicated,,,Y,227000,,03/29/2020,,Charles Hartman,Spouse,100,,14/02/2023 10:26:20
10000090,10000435,Dale,Garrison,03/01/2020,2020/02/16,P,Paid,,,N,327000,327000,,03/14/2020,Brandi Hunt,Son,100,1001001,14/02/2023 10:26:20
10000091,10000438,David,Smith,03/01/2020,2020/02/16,I,Inprogress,DP,Document in Process,Y,86000,,,,Kevin Phillips MD,Son,100,,14/02/2023 10:26:20
10000092,10000440,Tina,Lucas,03/01/2020,2020/02/17,P,Paid,,,N,457000,457000,,03/28/2020,Richard Davis,Son,100,1001001,14/02/2023 10:26:20
10000093,10000441,Adam,Williams,03/01/2020,2020/02/17,R,Received,,,N,331000,,,,Laura Singh,Son,100,,14/02/2023 10:26:20
10000094,10000452,Jennifer,Ramirez,03/01/2020,2020/02/19,R,Received,,,Y,85000,,,,Alexandra Moore,Spouse,100,,14/02/2023 10:26:20
10000095,10000455,Blake,Gibson,03/01/2020,2020/02/19,P,Paid,,,Y,206000,206000,,04/05/2020,Misty Mays,Daughter,100,1001001,14/02/2023 10:26:20
10000096,10000469,Michael,Ortiz,03/01/2020,2020/02/20,P,Paid,,,Y,105000,105000,,03/22/2020,Timothy Davis,Spouse,100,1001001,14/02/2023 10:26:20
10000097,10000470,Brian,Wood,03/01/2020,2020/02/20,A,Adjudicated,,,N,448000,,03/10/2020,,Jeff Murphy,Daughter,100,,14/02/2023 10:26:20
10000098,10000475,Heidi,Tucker,03/01/2020,2020/02/22,I,Inprogress,FI,Fraud Investigation In Progress,N,342000,,,,Lori Spence,Son,100,,14/02/2023 10:26:20
10000099,10000477,Lisa,Spencer,03/01/2020,2020/02/22,P,Paid,,,N,462000,462000,,03/14/2020,Maureen Morris,Son,100,1001001,14/02/2023 10:26:20
10000100,10000481,Brandy,Harris,03/01/2020,2020/02/23,P,Paid,,,N,314000,314000,,03/11/2020,Jessica Griffith,Spouse,100,1001001,14/02/2023 10:26:20
10000101,10000507,Lee,Dennis,03/01/2020,2020/02/28,P,Paid,,,N,75000,75000,,03/18/2020,John Walker,Son,100,1001001,14/02/2023 10:26:20
10000102,10000513,Mark,Murray,03/01/2020,2020/02/29,R,Received,,,N,358000,,,,Roger Henderson,Daughter,100,,14/02/2023 10:26:20
10000103,10000518,Timothy,Fleming,03/01/2020,2020/02/29,A,Adjudicated,,,Y,139000,,03/10/2020,,Christopher Rojas,Son,100,,14/02/2023 10:26:20
10000104,10000519,Ryan,Gonzalez,03/01/2020,2020/03/01,I,Inprogress,RA,Requirement Awaited,Y,415000,,,,Bobby Roberts,Spouse,100,,14/02/2023 10:26:20
10000105,10000521,Vanessa,Shaffer,03/01/2020,2020/03/01,A,Adjudicated,,,Y,464000,,03/29/2020,,Kevin West,Daughter,100,,14/02/2023 10:26:20
10000106,10000523,Bruce,Mullins,03/01/2020,2020/03/01,I,Inprogress,DP,Document in Process,N,303000,,,,Natasha Patton,Daughter,100,,14/02/2023 10:26:20
10000107,10000527,Joanna,Boyd,03/01/2020,2020/03/01,R,Received,,,Y,160000,,,,Jennifer Leonard,Son,100,,14/02/2023 10:26:20
10000108,10000528,Joe,Garcia,03/01/2020,2020/03/01,I,Inprogress,FI,Fraud Investigation In Progress,Y,488000,,,,Benjamin Johnson,Spouse,100,,14/02/2023 10:26:20
10000109,10000003,Jennifer,Martin,03/01/2020,2019/12/31,P,Paid,,,Y,92000,92000,,03/11/2020,Derrick Howard,Daughter,100,1001001,14/02/2023 10:26:20
10000110,10000025,Jennifer,Spencer,03/01/2020,2020/01/01,R,Received,,,Y,183000,,,,Brenda Kelly,Daughter,100,,14/02/2023 10:26:20
10000111,10000040,Thomas,Johnson,03/01/2020,2020/01/03,A,Adjudicated,,,N,289000,,03/17/2020,,Jon Williams,Son,100,,14/02/2023 10:26:20
10000112,10000046,Christopher,Brandt,03/01/2020,2020/01/04,R,Received,,,N,74000,,,,Richard Perry,Daughter,100,,14/02/2023 10:26:20
10000113,10000062,Lindsey,Kim,03/01/2020,2020/01/06,P,Paid,,,Y,333000,333000,,03/30/2020,Jennifer Horton,Son,100,1001001,14/02/2023 10:26:20
10000114,10000071,Bobby,Weber,03/01/2020,2020/01/07,R,Received,,,Y,216000,,,,Anthony Peterson,Daughter,100,,14/02/2023 10:26:20
10000115,10000088,Lisa,Hunter,03/01/2020,2020/01/08,P,Paid,,,Y,226000,226000,,03/17/2020,Glenn Brandt,Son,100,1001001,14/02/2023 10:26:20
10000116,10000101,Richard,Flores,03/01/2020,2020/01/12,R,Received,,,N,75000,,,,Jacob Moore,Son,100,,14/02/2023 10:26:20
10000117,10000107,Joseph,Cain,03/01/2020,2020/01/12,P,Paid,,,Y,207000,207000,,03/25/2020,Jonathan Smith,Spouse,100,1001001,14/02/2023 10:26:20
10000118,10000124,Tracy,Greene,03/01/2020,2020/01/15,R,Received,,,Y,84000,,,,Victoria Baker DDS,Daughter,100,,14/02/2023 10:26:20
10000119,10000164,Kathleen,Douglas,03/01/2020,2020/01/22,R,Received,,,N,467000,,,,Maurice Webster,Son,100,,14/02/2023 10:26:20
10000120,10000176,Rhonda,Davis,03/01/2020,2020/01/23,I,Inprogress,RA,Requirement Awaited,N,284000,,,,Austin Giles,Son,100,,14/02/2023 10:26:20
10000121,10000218,Alicia,Lam,03/01/2020,2020/01/28,P,Paid,,,N,71000,71000,,03/19/2020,Glenn Ward,Daughter,100,1001001,14/02/2023 10:26:20
10000122,10000222,Nicholas,Howard,03/01/2020,2020/01/29,A,Adjudicated,,,N,341000,,03/21/2020,,Tony Gordon,Son,100,,14/02/2023 10:26:20
10000123,10000248,Eric,Wright,03/01/2020,2020/02/01,I,Inprogress,PL,Policy Lapsed,Y,133000,,,,Chris Moore,Daughter,100,,14/02/2023 10:26:20
10000124,10000256,Jonathan,Harper,03/01/2020,2020/02/01,I,Inprogress,PL,Policy Lapsed,N,51000,,,,Lori Best,Daughter,100,,14/02/2023 10:26:20
10000125,10000530,Melissa,Rodriguez,04/05/2020,2020/02/24,P,Paid,,,Y,436000,436000,,04/29/2020,Amy Sutton,Daughter,100,1001001,14/02/2023 10:26:20
10000126,10000544,Ricardo,Lopez,04/05/2020,2020/02/26,R,Received,,,N,258000,,,,Ross Drake,Spouse,100,,14/02/2023 10:26:20
10000127,10000552,Amy,Trevino,04/05/2020,2020/02/26,R,Received,,,Y,336000,,,,Michelle Mccoy,Daughter,100,,14/02/2023 10:26:20
10000128,10000559,Nicholas,Davis,04/05/2020,2020/02/27,I,Inprogress,BN,Beneficiary Not Found,N,192000,,,,Ana Perez,Daughter,100,,14/02/2023 10:26:20
10000129,10000562,Nancy,Davis,04/05/2020,2020/02/27,A,Adjudicated,,,Y,460000,,04/15/2020,,Ian Allen,Daughter,100,,14/02/2023 10:26:20
10000130,10000577,Michele,Price,04/05/2020,2020/02/29,R,Received,,,Y,150000,,,,Monica Singleton,Son,100,,14/02/2023 10:26:20
10000131,10000585,Richard,Simon,04/05/2020,2020/03/02,R,Received,,,Y,56000,,,,Shannon Hayes,Spouse,100,,14/02/2023 10:26:20
10000132,10000586,Omar,James,04/05/2020,2020/03/02,P,Paid,,,N,375000,375000,,04/29/2020,Joseph Johnson,Spouse,100,1001001,14/02/2023 10:26:20
10000133,10000602,Douglas,Herrera,04/05/2020,2020/03/05,R,Received,,,N,390000,,,,Shannon Harris,Daughter,100,,14/02/2023 10:26:20
10000134,10000607,Elizabeth,Daniels,04/05/2020,2020/03/07,P,Paid,,,N,426000,426000,,04/27/2020,Amanda Flores,Daughter,100,1001001,14/02/2023 10:26:20
10000135,10000613,Tamara,Mcguire,04/05/2020,2020/03/07,I,Inprogress,FI,Fraud Investigation In Progress,N,491000,,,,Victoria Gentry,Spouse,100,,14/02/2023 10:26:20
10000136,10000620,Robert,Nelson,04/05/2020,2020/03/08,P,Paid,,,Y,496000,496000,,04/30/2020,William Cole,Son,100,1001001,14/02/2023 10:26:20
10000137,10000623,Allen,Trujillo,04/05/2020,2020/03/08,P,Paid,,,N,155000,155000,,05/07/2020,David Brown,Spouse,100,1001001,14/02/2023 10:26:20
10000138,10000629,Sarah,Jones,04/05/2020,2020/03/09,R,Received,,,Y,203000,,,,Kristen Franklin,Daughter,100,,14/02/2023 10:26:20
10000139,10000633,Sara,Jones,04/05/2020,2020/03/09,I,Inprogress,BN,Beneficiary Not Found,N,62000,,,,Marc Carpenter,Son,100,,14/02/2023 10:26:20
10000140,10000648,Rebecca,Taylor,04/05/2020,2020/03/12,I,Inprogress,PL,Policy Lapsed,N,105000,,,,Timothy Miller,Daughter,100,,14/02/2023 10:26:20
10000141,10000656,Dominic,Waters,04/05/2020,2020/03/14,I,Inprogress,PL,Policy Lapsed,N,392000,,,,Janet Johnson,Son,100,,14/02/2023 10:26:20
10000142,10000659,Nicolas,Richardson,04/05/2020,2020/03/15,I,Inprogress,DP,Document in Process,N,57000,,,,Kathryn Bell,Son,100,,14/02/2023 10:26:20
10000143,10000660,Shannon,Thompson,04/05/2020,2020/03/15,A,Adjudicated,,,Y,322000,,05/03/2020,,Lisa Cooper,Spouse,100,,14/02/2023 10:26:20
10000144,10000667,Heather,Richardson,04/05/2020,2020/03/15,P,Paid,,,N,103000,103000,,05/07/2020,Natasha Reyes,Son,100,1001001,14/02/2023 10:26:20
10000145,10000677,Mark,Lopez,04/05/2020,2020/03/17,R,Received,,,N,216000,,,,Cynthia Sullivan,Spouse,100,,14/02/2023 10:26:20
10000146,10000680,Donald,Terry,04/05/2020,2020/03/17,R,Received,,,N,461000,,,,Suzanne Pearson,Spouse,100,,14/02/2023 10:26:20
10000147,10000697,Christopher,White,04/05/2020,2020/03/18,A,Adjudicated,,,N,286000,,05/02/2020,,Jeffrey Davenport,Spouse,100,,14/02/2023 10:26:20
10000148,10000698,David,Peters,04/05/2020,2020/03/18,A,Adjudicated,,,N,482000,,05/04/2020,,David Jones,Daughter,100,,14/02/2023 10:26:20
10000149,10000699,Emily,Boyd,04/05/2020,2020/03/18,R,Received,,,N,261000,,,,Robert Edwards,Son,100,,14/02/2023 10:26:20
10000150,10000706,Leslie,Bryant,04/05/2020,2020/03/20,I,Inprogress,FI,Fraud Investigation In Progress,N,458000,,,,Melissa Kim,Son,100,,14/02/2023 10:26:20
10000151,10000709,David,Klein,04/05/2020,2020/03/21,A,Adjudicated,,,N,178000,,05/01/2020,,Jonathan James,Daughter,100,,14/02/2023 10:26:20
10000152,10000710,Katie,Chen,04/05/2020,2020/03/21,P,Paid,,,N,62000,62000,,04/24/2020,Stephanie Cooper,Spouse,100,1001001,14/02/2023 10:26:20
10000153,10000715,Lindsey,Chen,04/05/2020,2020/03/22,R,Received,,,N,69000,,,,Paul Boyer,Daughter,100,,14/02/2023 10:26:20
10000154,10000721,Joshua,Payne,04/05/2020,2020/03/22,A,Adjudicated,,,Y,329000,,05/04/2020,,Cheryl Manning,Daughter,100,,14/02/2023 10:26:20
10000155,10000726,Katelyn,Mcbride,04/05/2020,2020/03/24,P,Paid,,,Y,75000,75000,,04/15/2020,Jeremy Sanchez,Daughter,100,1001001,14/02/2023 10:26:20
10000156,10000727,Debra,May,04/05/2020,2020/03/24,I,Inprogress,BN,Beneficiary Not Found,N,172000,,,,Jake Patrick,Spouse,100,,14/02/2023 10:26:20
10000157,10000738,Brandon,Reyes,04/05/2020,2020/03/25,I,Inprogress,DP,Document in Process,Y,363000,,,,Chelsea Le,Son,100,,14/02/2023 10:26:20
10000158,10000739,Patricia,Walter,04/05/2020,2020/03/25,R,Received,,,N,69000,,,,Ian Lawrence,Spouse,100,,14/02/2023 10:26:20
10000159,10000741,Andrew,Phillips,04/05/2020,2020/03/25,I,Inprogress,PL,Policy Lapsed,N,338000,,,,Michele Ortega,Spouse,100,,14/02/2023 10:26:20
10000160,10000744,Sarah,Smith,04/05/2020,2020/03/25,R,Received,,,N,217000,,,,Anita Taylor,Spouse,100,,14/02/2023 10:26:20
10000161,10000754,Rick,Williams,04/05/2020,2020/03/26,I,Inprogress,BN,Beneficiary Not Found,Y,275000,,,,Stephen Marshall,Spouse,100,,14/02/2023 10:26:20
10000162,10000757,Adam,Winters,04/05/2020,2020/03/27,I,Inprogress,BN,Beneficiary Not Found,Y,163000,,,,Jeffrey Schwartz,Son,100,,14/02/2023 10:26:20
10000163,10000761,Krystal,Robinson,04/05/2020,2020/03/27,I,Inprogress,FI,Fraud Investigation In Progress,N,88000,,,,Jeffrey Miranda,Son,100,,14/02/2023 10:26:20
